id,council,name,proposed_by,promoted,coauthor
varanius_1758501414,1,"Repeal ""Protecting Press Freedoms""",varanius,1763917203,"kavagrad,feux,rhaza"
tinhampton_1758643240,1,Protection of Stateless Persons,tinhampton,1764262804,
cretox_state_1758860435,1,"Repeal ""Workplace Safety Standards Act""",cretox_state,1764608403,pallaith
cretox_state_1758860662,1,"Repeal ""Convention On Wartime Deceased""",cretox_state,1764954004,voopmont
idinist_imauggland_1759158572,1,"Repeal ""Universal Library Coalition""",idinist_imauggland,1765299604,
moduland_1759242103,1,Convention on Artistic Usage,moduland,1765645203,
lycori_1759250409,1,Honest Labelling of Foreign Aid Act,lycori,1765990803,
tinhampton_1759335472,1,"Repeal ""The Civil Charter of the World Assembly""",tinhampton,1766336403,
ostrovskiy_1759673721,1,"Repeal ""WA Numeration and Units Act""",ostrovskiy,1766682003,god-empress_makasta_silversbane
marxist_land_of_peoples_1759951803,1,"Repeal ""Basic Self-Defense Rights""",marxist_land_of_peoples,1767027604,moduland
tinhampton_1760213603,1,Restoring Workplace Discrimination Protections,tinhampton,1767373203,cessarea
karzstov_1764789205,2,Condemn Hawaiian Isle,karzstov,1764867604,
pallaith_1765098502,2,"Repeal ""Commend Hulldom""",pallaith,1765213202,"rhaza,halsoni"
wang_yao_1766085987,2,"Repeal ""Commend Evil Wolf""",wang_yao,1766120403,"one_small_island,a_mean_old_man,walkabout"
atymnius_1766249275,2,Commend Rushmore,atymnius,1766466004,
the_democratic_disney_states_1766283818,2,Commend New United Common-lands,the_democratic_disney_states,1766811604,yodle
pallaith_1766652015,2,Commend Great Bights Mum,pallaith,1767157204,
american-cascadia_1767462143,2,Commend East Malaysia,american-cascadia,1767502803,aivintis
