nation_id,varanius_1758501414,tinhampton_1758643240,cretox_state_1758860435,cretox_state_1758860662,idinist_imauggland_1759158572,moduland_1759242103,lycori_1759250409,tinhampton_1759335472,ostrovskiy_1759673721,marxist_land_of_peoples_1759951803,tinhampton_1760213603,moduland_1760456445,voopmont_1760656716,voopmont_1761189701,national_coraland_of_fishery_1761265157,ostrovskiy_1762091598,rhaza_1762374188,varanius_1763337144,karzstov_1764789205,pallaith_1765098502,suvmia_1765300730,wang_yao_1766085987,atymnius_1766249275,the_democratic_disney_states_1766283818,jiangbei_1766375178,pallaith_1766652015,general_tn_1767034690,american-cascadia_1767462143,old_hope_1769011134
-0akamelia,,,,,,,,,1,,,,,,,,,,,,1,,,,1,,1,,
-absurdistan-,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-allemeine,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
-eunomia,0,1,0,0,0,0,0,0,0,0,1,,0,1,1,1,,1,0,0,1,1,1,1,,1,1,1,1
-joelyria-,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,
-leon,,,,,,,,,,,0,1,,,,,,,,,,,,,,,,1,
-macaronesia-,,,,,,,1,,,,,,,,,,,,,,,,,,0,,,,
-priola,,,,,,,,,,,,,,,1,1,,,,,,1,,,,,,,
-shizouka-,0,1,0,0,0,1,1,,1,0,,0,0,1,,,,0,1,1,,1,1,1,0,1,,,
-sordland,1,0,1,1,,0,,0,,,,,,,,,,,0,,,,1,,,,,,
-the_supreme_state,,,,,0,,,,,,,,,,,0,1,,,,,,,,,,,,
-tim-opolis,,,1,,0,0,0,0,,,,,,,,,,,0,1,,1,,,,,,,
-urzikstan,1,,,1,,,,,,1,,1,,1,,,,,,,,,,,,1,,,
0000001,0,0,1,1,0,0,1,0,0,1,1,1,0,1,1,1,0,1,1,1,,1,1,1,,1,,1,0
001america100,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,
0cala,1,0,,1,0,0,0,0,1,1,,,,,1,,1,,0,1,,1,1,1,,,0,,
0ninoshima,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,
0ppressastan,,,1,,1,0,,,,,,,,,,,,,,0,,,,,,,,,
1-502nd_airborne_inf,,0,,,,,,,,,,,1,,,,,,,,,,,,,,1,,
118_elements,,,,,0,0,,0,1,0,,1,0,1,,1,1,1,,1,,1,,1,,1,1,1,0
11_templar_knights,0,1,1,1,0,0,0,0,1,1,0,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,,1,0
120ksnlandia,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,
123_sesame_street,,,,,,,,,,,1,,0,,,,,,,,,,,,,,,,
129392,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,
132nd_chad_division,,,1,1,,,,,,,,,,,,,,,0,1,,,,,,,,,
1700s_sweden,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
1ammok,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
1d5sos,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,
1jax0,,,,,,0,1,0,1,1,1,1,0,1,1,0,0,1,,,1,1,1,1,1,1,,1,0
1st_wu_division,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,
23smudge,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,
27_stars,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,
28th_socialist_brigade,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
2sara,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,
3_reix12,0,,,,,,,,0,,,,,,,,,,,,,,0,,,,,,
3rd_landfall_empire,1,,,,,0,,,,,,,,,1,,1,1,,,1,,,,1,,,,
3rd_republic_of_praha,0,0,,,,,,0,,,,,,,,,,,,,,1,,,,,,,
41_and_67,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,
4294967295,,,,,,,,,,,,,,0,1,1,0,0,,,1,,,,1,,1,,0
42forever,,1,,,,,,,,,,,,,,,,0,,,,,,,,,,,
51st_state_of_america,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,
5scheidten_beach,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,1,
